Timestamp,State
24-12-27_16-22-32-092226,OFF
24-12-27_16-22-32-159516,ON
24-12-27_16-22-32-229121,OFF
24-12-27_16-22-32-295610,ON
24-12-27_16-22-32-363838,OFF
24-12-27_16-22-32-434765,ON
24-12-27_16-22-32-502810,OFF
24-12-27_16-22-32-571421,ON
24-12-27_16-22-32-639446,OFF
24-12-27_16-22-32-707837,ON
24-12-27_16-22-32-776013,OFF
24-12-27_16-22-32-852603,ON
24-12-27_16-22-32-921205,OFF
24-12-27_16-22-32-990459,ON
24-12-27_16-22-33-059331,OFF
24-12-27_16-22-33-128629,ON
24-12-27_16-22-33-197368,OFF
24-12-27_16-22-33-267341,ON
24-12-27_16-22-33-334373,OFF
24-12-27_16-22-33-402459,ON
24-12-27_16-22-33-471384,OFF
24-12-27_16-22-33-542086,ON
24-12-27_16-22-33-610163,OFF
24-12-27_16-22-33-676485,ON
24-12-27_16-22-33-745141,OFF
24-12-27_16-22-33-816714,ON
24-12-27_16-22-33-885311,OFF
24-12-27_16-22-33-953822,ON
24-12-27_16-22-34-020376,OFF
24-12-27_16-22-34-089277,ON
24-12-27_16-22-34-159404,OFF
24-12-27_16-22-34-227570,ON
24-12-27_16-22-34-305687,OFF
24-12-27_16-22-34-371984,ON
24-12-27_16-22-34-468995,OFF
24-12-27_16-22-34-540190,ON
24-12-27_16-22-34-608780,OFF
24-12-27_16-22-34-676294,ON
24-12-27_16-22-34-750541,OFF
24-12-27_16-22-34-819917,ON
24-12-27_16-22-34-886532,OFF
24-12-27_16-22-34-961260,ON
24-12-27_16-22-35-029739,OFF
24-12-27_16-22-35-098111,ON
24-12-27_16-22-35-169950,OFF
